week_name,rider_count,rider_percentage
Saturday,37548,8.80
Sunday,50865,11.92
Friday,60633,14.20
Thursday,66123,15.49
Monday,66857,15.66
Wednesday,69907,16.38
Tuesday,74954,17.56
